age,mass,Lbol,teff,logg,radius
0.0000,0.069,-1.177,2733.,3.153,1.1510
0.0000,0.078,-1.053,2749.,3.095,1.3124
0.0000,0.456,1.034,3831.,2.351,7.4644
0.0000,0.078,-1.053,2749.,3.095,1.3124
0.0000,0.079,-1.041,2750.,3.090,1.3282
0.0000,0.087,-0.950,2764.,3.048,1.4608
0.0000,0.386,0.840,3717.,2.420,6.3413
0.0000,0.067,-1.202,2730.,3.165,1.1201
0.0000,0.078,-1.053,2749.,3.095,1.3124
0.0000,0.456,1.034,3830.,2.351,7.4644
0.0000,0.078,-1.053,2749.,3.095,1.3124
0.0000,0.169,-0.244,2990.,2.766,2.8130
0.0000,0.079,-1.041,2750.,3.090,1.3282
0.0000,0.078,-1.053,2749.,3.095,1.3124
0.0000,0.060,-1.308,2718.,3.216,1.0005
0.0000,0.062,-1.269,2722.,3.197,1.0426
0.0000,0.065,-1.229,2727.,3.178,1.0888
0.0000,0.067,-1.195,2731.,3.162,1.1287
0.0000,0.070,-1.163,2735.,3.147,1.1681
0.0000,0.070,-1.159,2735.,3.145,1.1723
0.0000,0.071,-1.148,2736.,3.140,1.1867
0.0000,0.071,-1.140,2737.,3.136,1.1974
0.0000,0.072,-1.137,2738.,3.135,1.2002
0.0000,0.072,-1.129,2739.,3.131,1.2104
0.0000,0.073,-1.121,2740.,3.127,1.2210
0.0000,0.073,-1.113,2741.,3.123,1.2311
0.0000,0.074,-1.104,2742.,3.119,1.2429
0.0000,0.075,-1.092,2743.,3.113,1.2589
0.0000,0.076,-1.079,2745.,3.107,1.2771
0.0000,0.077,-1.065,2747.,3.100,1.2961
0.0000,0.080,-1.027,2752.,3.083,1.3475
0.0000,0.081,-1.012,2754.,3.076,1.3692
0.0000,0.083,-0.994,2757.,3.068,1.3952
0.0000,0.085,-0.974,2760.,3.059,1.4254
0.0000,0.089,-0.924,2768.,3.036,1.5015
0.0000,0.092,-0.893,2773.,3.022,1.5504
0.0000,0.096,-0.858,2779.,3.006,1.6076
0.0000,0.099,-0.819,2785.,2.989,1.6723
0.0000,0.110,-0.721,2806.,2.947,1.8453
0.0000,0.117,-0.659,2823.,2.922,1.9563
0.0000,0.124,-0.590,2846.,2.894,2.0860
0.0000,0.134,-0.511,2874.,2.864,2.2405
0.0000,0.145,-0.423,2907.,2.830,2.4208
0.0000,0.156,-0.334,2948.,2.798,2.6106
0.0000,0.206,0.027,3165.,2.682,3.4316
0.0000,0.229,0.172,3269.,2.638,3.8021
0.0000,0.255,0.317,3373.,2.594,4.2195
0.0000,0.284,0.457,3469.,2.550,4.6831
0.0000,0.316,0.589,3548.,2.503,5.2122
0.0000,0.352,0.726,3642.,2.459,5.7907
0.0000,0.418,0.935,3775.,2.386,6.8630
0.0000,0.491,1.116,3873.,2.320,8.0272
0.0000,0.524,1.187,3908.,2.293,8.5591
0.0000,0.087,-0.950,2764.,3.048,1.4608
0.0000,0.078,-1.053,2749.,3.095,1.3124
0.0000,0.456,1.033,3830.,2.351,7.4643
0.0000,0.079,-1.041,2750.,3.090,1.3282
0.0000,0.078,-1.053,2749.,3.095,1.3124
0.0000,0.067,-1.202,2730.,3.165,1.1201
0.0000,0.078,-1.053,2749.,3.095,1.3125
0.0000,0.087,-0.950,2764.,3.048,1.4609
0.0000,0.186,-0.112,3071.,2.724,3.1048
0.0000,0.456,1.033,3829.,2.351,7.4642
0.0000,0.078,-1.053,2749.,3.095,1.3125
0.0000,0.079,-1.041,2750.,3.090,1.3283
0.0000,0.104,-0.773,2795.,2.969,1.7521
0.0000,0.078,-1.053,2749.,3.095,1.3125
0.0000,0.078,-1.053,2749.,3.095,1.3125
0.0000,0.078,-1.053,2749.,3.095,1.3125
0.0000,0.078,-1.053,2749.,3.095,1.3125
0.0000,0.078,-1.053,2749.,3.095,1.3125
0.0000,0.078,-1.053,2749.,3.095,1.3125
0.0000,0.069,-1.177,2733.,3.153,1.1510
0.0000,0.079,-1.041,2750.,3.090,1.3283
0.0000,0.456,1.033,3829.,2.351,7.4642
0.0000,0.067,-1.202,2730.,3.165,1.1201
0.0000,0.087,-0.950,2764.,3.048,1.4609
0.0000,0.169,-0.244,2991.,2.766,2.8131
0.0000,0.078,-1.053,2749.,3.095,1.3125
0.0000,0.078,-1.053,2749.,3.095,1.3125
0.0000,0.386,0.839,3716.,2.420,6.3412
0.0000,0.079,-1.041,2751.,3.090,1.3283
0.0000,0.078,-1.053,2749.,3.095,1.3125
0.0000,0.456,1.033,3828.,2.351,7.4641
0.0000,0.078,-1.053,2749.,3.095,1.3125
0.0000,0.087,-0.950,2764.,3.048,1.4609
0.0000,0.079,-1.041,2751.,3.090,1.3283
0.0000,0.078,-1.052,2749.,3.095,1.3125
0.0000,0.067,-1.202,2730.,3.165,1.1201
0.0000,0.456,1.032,3828.,2.351,7.4640
0.0000,0.078,-1.052,2749.,3.095,1.3125
0.0000,0.079,-1.041,2751.,3.090,1.3283
0.0000,0.078,-1.052,2749.,3.095,1.3125
0.0000,0.087,-0.950,2764.,3.048,1.4609
0.0000,0.096,-0.857,2779.,3.006,1.6077
0.0000,0.078,-1.052,2749.,3.095,1.3125
0.0000,0.456,1.032,3827.,2.351,7.4640
0.0000,0.078,-1.052,2749.,3.095,1.3125
0.0000,0.079,-1.041,2751.,3.090,1.3283
0.0000,0.067,-1.202,2730.,3.165,1.1201
0.0000,0.078,-1.052,2749.,3.095,1.3125
0.0000,0.078,-1.052,2749.,3.095,1.3125
0.0000,0.456,1.032,3826.,2.351,7.4639
0.0000,0.087,-0.950,2764.,3.048,1.4609
0.0000,0.078,-1.052,2749.,3.095,1.3125
0.0000,0.079,-1.041,2751.,3.090,1.3283
0.0000,0.169,-0.243,2992.,2.766,2.8132
0.0000,0.078,-1.052,2749.,3.095,1.3125
0.0000,0.456,1.032,3826.,2.351,7.4639
0.0000,0.206,0.029,3167.,2.682,3.4318
0.0000,0.078,-1.052,2749.,3.095,1.3125
0.0000,0.067,-1.202,2730.,3.165,1.1201
0.0000,0.079,-1.041,2751.,3.090,1.3283
0.0000,0.087,-0.950,2764.,3.048,1.4609
0.0000,0.078,-1.052,2749.,3.095,1.3125
0.0000,0.456,1.031,3826.,2.351,7.4638
0.0000,0.078,-1.052,2749.,3.095,1.3125
0.0000,0.079,-1.041,2751.,3.090,1.3283
0.0000,0.078,-1.052,2749.,3.095,1.3125
0.0000,0.145,-0.422,2909.,2.830,2.4210
0.0000,0.524,1.184,3901.,2.293,8.5583
0.0000,0.078,-1.052,2749.,3.095,1.3125
0.0000,0.087,-0.950,2764.,3.048,1.4609
0.0000,0.067,-1.202,2730.,3.165,1.1201
0.0000,0.456,1.031,3825.,2.351,7.4638
0.0000,0.079,-1.041,2751.,3.090,1.3283
0.0000,0.078,-1.052,2749.,3.095,1.3125
0.0000,0.078,-1.052,2749.,3.095,1.3125
0.0000,0.060,-1.307,2719.,3.216,1.0006
0.0000,0.062,-1.269,2723.,3.197,1.0426
0.0000,0.065,-1.228,2727.,3.178,1.0889
0.0000,0.067,-1.195,2731.,3.162,1.1287
0.0000,0.070,-1.163,2735.,3.147,1.1682
0.0000,0.070,-1.159,2735.,3.145,1.1724
0.0000,0.071,-1.148,2737.,3.140,1.1868
0.0000,0.071,-1.139,2738.,3.136,1.1974
0.0000,0.072,-1.137,2738.,3.135,1.2002
0.0000,0.072,-1.129,2739.,3.131,1.2104
0.0000,0.073,-1.121,2740.,3.127,1.2211
0.0000,0.073,-1.113,2741.,3.123,1.2312
0.0000,0.074,-1.104,2742.,3.119,1.2430
0.0000,0.075,-1.092,2744.,3.113,1.2589
0.0000,0.076,-1.078,2746.,3.107,1.2772
0.0000,0.077,-1.064,2748.,3.100,1.2961
0.0000,0.080,-1.027,2753.,3.083,1.3476
0.0000,0.081,-1.012,2755.,3.076,1.3693
0.0000,0.083,-0.994,2758.,3.068,1.3953
0.0000,0.085,-0.973,2761.,3.059,1.4255
